label,tag,final_embedding
Country/Region Of Origin - [ shoes ],Luxembourg,
Country/Region Of Origin - [ shoes ],Macau,
Country/Region Of Origin - [ shoes ],North Macedonia,
Country/Region Of Origin - [ shoes ],Madagascar,
Country/Region Of Origin - [ shoes ],Malawi,
Country/Region Of Origin - [ shoes ],Malaysia,
Country/Region Of Origin - [ shoes ],Maldives,
Country/Region Of Origin - [ shoes ],Mali,
Country/Region Of Origin - [ shoes ],Malta,
Country/Region Of Origin - [ shoes ],Marshall Islands,
Country/Region Of Origin - [ shoes ],Martinique,
Country/Region Of Origin - [ shoes ],Mauritania,
Country/Region Of Origin - [ shoes ],Mauritius,
Country/Region Of Origin - [ shoes ],Mayotte,
Country/Region Of Origin - [ shoes ],Mexico,
Country/Region Of Origin - [ shoes ],Micronesia,
Country/Region Of Origin - [ shoes ],Moldova,
Country/Region Of Origin - [ shoes ],Monaco,
Country/Region Of Origin - [ shoes ],Mongolia,
Country/Region Of Origin - [ shoes ],Montserrat,
Country/Region Of Origin - [ shoes ],Morocco,
Country/Region Of Origin - [ shoes ],Mozambique,
Country/Region Of Origin - [ shoes ],Namibia,
Country/Region Of Origin - [ shoes ],Nauru,
Country/Region Of Origin - [ shoes ],Nepal,
Country/Region Of Origin - [ shoes ],Netherlands,
Country/Region Of Origin - [ shoes ],New Caledonia,
Country/Region Of Origin - [ shoes ],New Zealand,
Country/Region Of Origin - [ shoes ],Nicaragua,
Country/Region Of Origin - [ shoes ],Niger,
Country/Region Of Origin - [ shoes ],Nigeria,
Country/Region Of Origin - [ shoes ],Niue,
Country/Region Of Origin - [ shoes ],Norfolk Island,
Country/Region Of Origin - [ shoes ],North Korea,
Country/Region Of Origin - [ shoes ],Northern Mariana Islands,
Country/Region Of Origin - [ shoes ],Norway,
Country/Region Of Origin - [ shoes ],Oman,
Country/Region Of Origin - [ shoes ],Pakistan,
Country/Region Of Origin - [ shoes ],Palau,
Country/Region Of Origin - [ shoes ],Palestinian Territory,
Country/Region Of Origin - [ shoes ],Panama,
Country/Region Of Origin - [ shoes ],Papua New Guinea,
Country/Region Of Origin - [ shoes ],Paraguay,
Country/Region Of Origin - [ shoes ],Peru,
Country/Region Of Origin - [ shoes ],Philippines,
Country/Region Of Origin - [ shoes ],Pitcairn Islands,
Country/Region Of Origin - [ shoes ],Poland,
Country/Region Of Origin - [ shoes ],Portugal,
Country/Region Of Origin - [ shoes ],Puerto Rico,
Country/Region Of Origin - [ shoes ],Qatar,
Country/Region Of Origin - [ shoes ],Republic of the Congo,
Country/Region Of Origin - [ shoes ],Reunion,
Country/Region Of Origin - [ shoes ],Romania,
Country/Region Of Origin - [ shoes ],Russia,
Country/Region Of Origin - [ shoes ],Rwanda,
Country/Region Of Origin - [ shoes ],S. Georgia and S. Sandwich Isls.,
Country/Region Of Origin - [ shoes ],Saint Helena,
Country/Region Of Origin - [ shoes ],Saint Kitts And Nevis,
Country/Region Of Origin - [ shoes ],Saint Lucia,
Country/Region Of Origin - [ shoes ],Saint Pierre and Miquelon,
Country/Region Of Origin - [ shoes ],Saint Vincent And The Grenadines,
Country/Region Of Origin - [ shoes ],Saint-Martin,
Country/Region Of Origin - [ shoes ],Samoa,
Country/Region Of Origin - [ shoes ],San Marino,
Country/Region Of Origin - [ shoes ],Sao Tome And Principe,
Country/Region Of Origin - [ shoes ],Saudi Arabia,
Country/Region Of Origin - [ shoes ],Senegal,
Country/Region Of Origin - [ shoes ],Serbia,
Country/Region Of Origin - [ shoes ],Seychelles,
Country/Region Of Origin - [ shoes ],Sierra Leone,
Country/Region Of Origin - [ shoes ],Singapore,
Country/Region Of Origin - [ shoes ],Slovakia,
Country/Region Of Origin - [ shoes ],Slovenia,
Country/Region Of Origin - [ shoes ],Solomon Islands,
Country/Region Of Origin - [ shoes ],Somalia,
Country/Region Of Origin - [ shoes ],South Africa,
Country/Region Of Origin - [ shoes ],South Korea,
Country/Region Of Origin - [ shoes ],Spain,
Country/Region Of Origin - [ shoes ],Sri Lanka,
Country/Region Of Origin - [ shoes ],Sudan,
Country/Region Of Origin - [ shoes ],Suriname,
Country/Region Of Origin - [ shoes ],Svalbard,
Country/Region Of Origin - [ shoes ],Swaziland,
Country/Region Of Origin - [ shoes ],Sweden,
Country/Region Of Origin - [ shoes ],Switzerland,
Country/Region Of Origin - [ shoes ],Syria,
Country/Region Of Origin - [ shoes ],Taiwan,
Country/Region Of Origin - [ shoes ],Tajikistan,
Country/Region Of Origin - [ shoes ],Tanzania,
Country/Region Of Origin - [ shoes ],Thailand,
Country/Region Of Origin - [ shoes ],Timor-Leste,
Country/Region Of Origin - [ shoes ],Togo,
Country/Region Of Origin - [ shoes ],Tokelau,
Country/Region Of Origin - [ shoes ],Tonga,
Country/Region Of Origin - [ shoes ],Trinidad And Tobago,
Country/Region Of Origin - [ shoes ],Tunisia,
Country/Region Of Origin - [ shoes ],Turkey,
Country/Region Of Origin - [ shoes ],Turkmenistan,
Country/Region Of Origin - [ shoes ],Turks And Caicos Islands,
Country/Region Of Origin - [ shoes ],Tuvalu,
Country/Region Of Origin - [ shoes ],Uganda,
Country/Region Of Origin - [ shoes ],Ukraine,
Country/Region Of Origin - [ shoes ],United Arab Emirates,
Country/Region Of Origin - [ shoes ],Uruguay,
Country/Region Of Origin - [ shoes ],US Minor Outlying Islands,
Country/Region Of Origin - [ shoes ],US Virgin Islands,
Country/Region Of Origin - [ shoes ],Uzbekistan,
Country/Region Of Origin - [ shoes ],Vanuatu,
Country/Region Of Origin - [ shoes ],Venezuela,
Country/Region Of Origin - [ shoes ],Vietnam,
Country/Region Of Origin - [ shoes ],Wallis and Futuna,
Country/Region Of Origin - [ shoes ],Western Sahara,
Country/Region Of Origin - [ shoes ],Yemen,
Country/Region Of Origin - [ shoes ],Zambia,
Country/Region Of Origin - [ shoes ],Zimbabwe,
Country/Region Of Origin - [ shoes ],Unknown,
Country/Region Of Origin - [ shoes ],United Kingdom,
Material/Fabric Regulations - [ shoes ],Wool,
Material/Fabric Regulations - [ shoes ],Fur,
Material/Fabric Regulations - [ shoes ],Not Applicable,
Material/Fabric Regulations - [ shoes ],Bamboo,
Target Gender - [ shoes ],Male,
Target Gender - [ shoes ],Female,
Target Gender - [ shoes ],Unisex,
Age Range Description - [ shoes ],Adult,
Age Range Description - [ shoes ],Kid,
Age Range Description - [ shoes ],Baby,
Parentage - [ shoes ],Parent,
Parentage - [ shoes ],Child,
Relationship Type - [ shoes ],Variation,
Variation Theme - [ shoes ],ColorName,
Variation Theme - [ shoes ],Colorsize,
Variation Theme - [ shoes ],Colour & Style,
Variation Theme - [ shoes ],itemweight,
Variation Theme - [ shoes ],Material,
Variation Theme - [ shoes ],MaterialSize,
Variation Theme - [ shoes ],model,
Variation Theme - [ shoes ],model-stylename-partnumber,
Variation Theme - [ shoes ],Size,
Variation Theme - [ shoes ],SizeName,
Variation Theme - [ shoes ],sizecolor,
Variation Theme - [ shoes ],Size-Material,
Variation Theme - [ shoes ],SizeName-ColorName,
Variation Theme - [ shoes ],sizename-stylename,
Variation Theme - [ shoes ],SizeStyle,
Variation Theme - [ shoes ],StyleName,
Variation Theme - [ shoes ],stylename-color,
Variation Theme - [ shoes ],stylename-unitcount,
Update Delete - [ shoes ],Update,
Update Delete - [ shoes ],PartialUpdate,
Update Delete - [ shoes ],Delete,
Sole Material - [ shoes ],Thermoplastic Elastomers,
Sole Material - [ shoes ],Wood,
Sole Material - [ shoes ],Cork,
Sole Material - [ shoes ],Polyurethane,
Sole Material - [ shoes ],Synthetic Rubber,
Sole Material - [ shoes ],Ethylene Vinyl Acetate,
Sole Material - [ shoes ],Rubber,
Sole Material - [ shoes ],Polyvinyl Chloride,
Sole Material - [ shoes ],Jute,
Sole Material - [ shoes ],Thermoplastic Polyurethane,
Heel height unit of measure - [ shoes ],FT,
Heel height unit of measure - [ shoes ],CM,
Heel height unit of measure - [ shoes ],MM,
Heel height unit of measure - [ shoes ],DM,
Heel height unit of measure - [ shoes ],Picometre,
Heel height unit of measure - [ shoes ],µM,
Heel height unit of measure - [ shoes ],M,
Heel height unit of measure - [ shoes ],Miles,
Heel height unit of measure - [ shoes ],Yards,
Heel height unit of measure - [ shoes ],Mils,
Heel height unit of measure - [ shoes ],IN,
Heel height unit of measure - [ shoes ],Nanometre,
Heel height unit of measure - [ shoes ],Hundredths-Inches,
Heel height unit of measure - [ shoes ],Kilometres,
Heel height unit of measure - [ shoes ],Angstrom,
Shoe Size Gender - [ shoes ],Women,
Shoe Size Gender - [ shoes ],Men,
Shoe Size To Range (If Range) - [ shoes ],0,
Shoe Size To Range (If Range) - [ shoes ],0.5,
Shoe Size To Range (If Range) - [ shoes ],1,
Shoe Size To Range (If Range) - [ shoes ],1.5,
Shoe Size To Range (If Range) - [ shoes ],2,
Shoe Size To Range (If Range) - [ shoes ],2.5,
Shoe Size To Range (If Range) - [ shoes ],3,
Shoe Size To Range (If Range) - [ shoes ],3.5,
Shoe Size To Range (If Range) - [ shoes ],4,
Shoe Size To Range (If Range) - [ shoes ],4.5,
Shoe Size To Range (If Range) - [ shoes ],5,
Shoe Size To Range (If Range) - [ shoes ],5.5,
Shoe Size To Range (If Range) - [ shoes ],6,
Shoe Size To Range (If Range) - [ shoes ],6.5,
Shoe Size To Range (If Range) - [ shoes ],7,
Shoe Size To Range (If Range) - [ shoes ],7.5,
Shoe Size To Range (If Range) - [ shoes ],8,
Shoe Size To Range (If Range) - [ shoes ],8.5,
Shoe Size To Range (If Range) - [ shoes ],9,
Shoe Size To Range (If Range) - [ shoes ],9.5,
Shoe Size To Range (If Range) - [ shoes ],10,
Shoe Size To Range (If Range) - [ shoes ],10.5,
Shoe Size To Range (If Range) - [ shoes ],11,
Shoe Size To Range (If Range) - [ shoes ],11.5,
Shoe Size To Range (If Range) - [ shoes ],12,
Shoe Size To Range (If Range) - [ shoes ],12.5,
